Station,Line,Latitude,Longitude,Order,Is Junction
Brigadier Hoshiyar Singh,Green Line,28.6974603,76.9192027,1,0
Bahadurgarh City,Green Line,28.6907847,76.9354851,2,0
Pandit Shree Ram Sharma,Green Line,28.689281,76.9511988,3,0
Tikri Border,Green Line,28.6880254,76.9640828,4,0
Tikri Kalan,Green Line,28.6868661,76.9772069,5,0
Ghevra,Green Line,28.6852384,76.9961591,6,0
Mundka Industrial Area,Green Line,28.6834491,77.0171333,7,0
Mundka,Green Line,28.6824341,77.0305741,8,0
Rajdhani Park,Green Line,28.6823085,77.0439437,9,0
Nangloi Railway station,Green Line,28.68213195,77.05620911,10,0
Nangloi,Green Line,28.68235236,77.06481493,11,0
Maharaja Surajmal Stadium,Green Line,28.68186676,77.07395388,12,0
Udyog Nagar,Green Line,28.681103,77.0808492,13,0
Peera Garhi,Green Line,28.6798074,77.0926793,14,0
Paschim Vihar West,Green Line,28.6786514,77.1022255,15,0
Paschim Vihar East,Green Line,28.6773985,77.1122953,16,0
Madipur,Green Line,28.6764752,77.1193599,17,0
Shivaji Park,Green Line,28.67493146,77.13060628,18,0
Punjabi Bagh,Green Line,28.67302837,77.14600735,19,0
Ashok Park Main,Green Line,28.6716045,77.155291,20,0
